URL,title,Short URL,Response
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-top.md","README-top.md","https://t2m.io/0gYajdr","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-eeqmv2.md","README-eeqmv2.md","https://t2m.io/V4z7jLS","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-square-v.md","README-square-v.md","https://t2m.io/qaskyZi","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-more-derivations.md","README-more-derivations.md","https://t2m.io/ume7qGP","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-integrate-t.md","README-integrate-t.md","https://t2m.io/Vnfi5x7","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-what-is-a.md","README-what-is-a.md","https://t2m.io/ueoSTYE","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-mad.md","README-mad.md","https://t2m.io/atu4RFc","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-more-mad.md","README-more-mad.md","https://t2m.io/MqhBDkA","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-explore-more.md","README-explore-more.md","https://t2m.io/wgNvc3u","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-explore-more-and-more.md","README-explore-more-and-more.md","https://t2m.io/aRVRahq","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-relative.md","README-relative.md","https://t2m.io/7OdGHV1","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-saturation.md","README-saturation.md","https://t2m.io/drTfbBq","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-m-not-fundamental.md","README-m-not-fundamental.md","https://t2m.io/myZ2Y7s","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-m-conclusions.md","README-m-conclusions.md","https://t2m.io/J87d9jJ","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-gauge-field.md","README-gauge-field.md","https://t2m.io/Dkna3EV","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-gauge-field-energy.md","README-gauge-field-energy.md","https://t2m.io/m2A88o5","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-storing-energy-in-gauge.md","README-storing-energy-in-gauge.md","https://t2m.io/YveySqs","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-gauge-self-definition.md","README-gauge-self-definition.md","https://t2m.io/Sh0SdBh","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-gauge-implicatons.md","README-gauge-implicatons.md","https://t2m.io/dsqvZke","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-why-c-constant.md","README-why-c-constant.md","https://t2m.io/vB0DVuC","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-fine-structure-constant.md","README-fine-structure-constant.md","https://t2m.io/KK3An6L","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-fine-implications.md","README-fine-implications.md","https://t2m.io/1Q9sWPg","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-derive-c-from-alpha.md","README-derive-c-from-alpha.md","https://t2m.io/RdUiVD0","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-explain-c-alpha.md","README-explain-c-alpha.md","https://t2m.io/GOUaxTi","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-explain-c-alpha-again.md","README-explain-c-alpha-again.md","https://t2m.io/0ZAyZrv","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-distinctions.md.md","README-distinctions.md.md","https://t2m.io/WEHZLXW","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-oscillation.md","README-oscillation.md","https://t2m.io/F0KKrHn","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-oscillation-energy.md","README-oscillation-energy.md","https://t2m.io/Gb5SgXc","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-point-theory-enters.md","README-point-theory-enters.md","https://t2m.io/Fy4rALb","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-quantized-energy-transfer.md","README-quantized-energy-transfer.md","https://t2m.io/qYqACM7","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-quantized-oscillations.md","README-quantized-oscillations.md","https://t2m.io/Mw4XBeB","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-tessellation.md","README-tessellation.md","https://t2m.io/v1j0nTR","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-tessellation-implications.md","README-tessellation-implications.md","https://t2m.io/eSjPYqT","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-tessellation-gravity-emerges.md","README-tessellation-gravity-emerges.md","https://t2m.io/6bKt2cm","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-black-holes.md","README-black-holes.md","https://t2m.io/4YSqaLp","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-black-holes-event-horizon.md","README-black-holes-event-horizon.md","https://t2m.io/vE8cdBS","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-black-holes-and-gravity.md","README-black-holes-and-gravity.md","https://t2m.io/SRjsEOv","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-black-holes-points-oscillate.md","README-black-holes-points-oscillate.md","https://t2m.io/m00yZca","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-black-hole-theories.md","README-black-hole-theories.md","https://t2m.io/skFYSwy","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-ringdown.md","README-ringdown.md","https://t2m.io/4WTYkQy","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-black-hole-temperature.md","README-black-hole-temperature.md","https://t2m.io/VOQQooe","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-conservation-of-gravity.md","README-conservation-of-gravity.md","https://t2m.io/7Ld9u2c","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-points-and-energy.md","README-points-and-energy.md","https://t2m.io/cq7OvYX","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-points-radiation-direction.md","README-points-radiation-direction.md","https://t2m.io/ZoTZGUu","URL imported successfully."
"https://github.com/cpsource/UFT/blob/main/mdgithub/explore-2/README-points-simulation.md","README-points-simulation.md","https://t2m.io/t1AGbq2","URL imported successfully."
